Journal title,Journal URL,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Journal provides download statistics,Download statistics information URL,Journal license
Interventions Économiques,http://interventionseconomiques.revues.org/,Papers in Political Economy,0715-3570,1710-7377,,,
Estudios Internacionales,http://www.revistaei.uchile.cl,,0716-0240,0719-3769,,,CC BY-SA
Revista Chilena de Historia Natural,http://revchilhistnat.com/,,0716-078X,0717-6317,,,
Revista de Ciencia Política,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-090X&lng=pt&nrm=iso,,0716-1417,0718-090X,,,
Cultura-Hombre-Sociedad,http://cuhso.cl,CUHSO,0716-1557,0719-2789,,,CC BY-NC-SA
Cuadernos de historia,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0719-1243&lng=en&nrm=iso,,0716-1832,0719-1243,,,
Byzantion Nea Hellás,http://www.byzantion.uchile.cl/,Byzantion Nea Hellas,0716-2138,0718-8471,,,
Revista Musical Chilena,http://www.revistamusicalchilena.uchile.cl/,,0716-2790,0717-6252,,,
Comunicación y Medios,http://www.comunicacionymedios.uchile.cl/,Revista Comunicación y Medios,0716-3991,0719-1529,,http://www.comunicacionymedios.uchile.cl,CC BY-NC
Literatura y Lingüística,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0716-5811&lng=en&nrm=iso,L y L,0716-5811,0717-621X,,,
Revista de Análisis Económico (RAE),http://www.rae-ear.org/,Economic Analysis Review (EAR),0716-5927,0718-8870,,,
"Logos: Revista de Lingüística, Literatura y Filosofía",http://revistas.userena.cl/index.php/logos/index,,0716-7520,0719-3262,,,CC BY
Información Tecnológica,http://www.scielo.cl/scielo.php?script=sci_serial&lng=en&pid=0718-0764&nrm=iso,,0716-8756,0718-0764,,,
Psykhe (Santiago),http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-2228&lng=en&nrm=iso,,0717-0297,0718-2228,,,
"Onomázein : Revista de Lingüística, Filología y Traducción",http://www.onomazein.net,,0717-1285,0718-5758,,,CC BY-ND
Ius et Praxis ,http://www.revistaiepraxis.cl,,0717-2877,0718-0012,,,CC BY
Urbano,http://www.redalyc.org/revista.oa?id=198,,0717-3997,0718-3607,,,
Calidad en la Educación,http://www.cned.cl/public/Secciones/seccionpublicaciones/publicaciones_revista_calidad_detalle.aspx?idPublicacion=67,,0717-4004,0718-4565,,,
Revista Chilena de Fonoaudiología,http://www.revfono.uchile.cl/,,0717-4659,0719-4692,,,CC BY-NC-SA
Veritas : Revista de Filosofía y Teología ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-9273&lng=en&nrm=iso,Veritas : Revista de Filosofia & Teologia ,0717-4675,0718-9273,,,
CLEI Electronic Journal,http://www.clei.cl/cleiej/index.html,,,0717-5000,,,CC BY-NC
Revista de Urbanismo,http://revistaurbanismo.uchile.cl,Journal of Urbanism,0717-5051,,,,CC BY-NC-ND
Revista de Historia Social y de las Mentalidades,http://www.rhistoria.usach.cl,,0717-5248,0719-4749,,,CC BY-NC-ND
Cinta de Moebio: Revista de Epistemologia de Ciencias Sociales,http://www.facso.uchile.cl/publicaciones/moebio/info.html,,,0717-554X,,http://www.scielo.cl/statjournal.php?lang=es&issn=0717-554X,CC BY
Revista Chilena de Enfermedades Respiratorias,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-7348&lng=en&nrm=iso,,0717-5698,0717-7348,,,
Medwave,http://www.medwave.cl,,0717-6384,,,,CC BY-NC
Ingenieria Industrial,http://revistas.ubiobio.cl/index.php/RI,,0717-9103,0718-8307,,,
Motricidad Humana,http://www.revistamotricidad.com,,0717-9677,0718-9613,,,CC BY-NC-SA
Diseño Urbano y Paisaje,http://www.ucentral.cl/dup/,DU&P,0717-9758,,,,
Estudios Constitucionales,http://www.redalyc.org/revista.oa?id=820,,0718-0195,0718-5200,,,
Revista Enfoques : Ciencia Política y Administración Pública,http://www.politicaygobierno.cl/?page_id=1207,,0718-0241,,,,
Summa Psicologica UST,http://summapsicologica.cl/index.php/summa,,0718-0446,0719-448X,,,CC BY
Revista Mad,http://www.revistamad.uchile.cl/,Revista del Magíster en Análisis Sistémico Aplicado a la Sociedad,,0718-0527,,,CC BY
Revista Chilena de Neuropsicologia,http://www.neurociencia.cl/,,0718-0551,0718-4913,,,CC BY-NC-ND
Synergies Chili,http://gerflint.fr/synergies-chili,,0718-0675,,,,
Bifurcaciones,http://www.bifurcaciones.cl,,0718-1132,,,,
Revista INVI,http://www.revistainvi.uchile.cl/,,0718-1299,0718-8358,,,
Serie Bibliotecología y Gestión de Información,http://seriebibliotecologia.blogutem.cl,,0718-1701,0719-0832,,,CC BY-SA
Journal of Theoretical and Applied Electronic Commerce Research,http://www.jtaer.com,,,0718-1876,,,
Alpha (Osorno),http://www.scielo.cl/scielo.php?script=sci_serial&lng=en&pid=0718-2201&nrm=iso,,,0718-2201,,,
Revista Interamericana de Ambiente y Turismo,http://riat.utalca.cl/index.php/test/index,RIAT,,0718-235X,,,CC BY
Ingeniare :  Revista Chilena de Ingeniería,http://www.scielo.cl/scielo.php/script_sci_serial/pid_0718-3305/lng_es/nrm_iso,,0718-3291,0718-3305,,,
Revista Observaciones Filosóficas,http://www.observacionesfilosoficas.net/ ,,0718-3712,,,,
Cuadernos de Neuropsicologia,http://www.cnps.cl/index.php/cnps,CNPs,0718-4123,,,,CC BY-NC-SA
Capic Review,http://www.capic.cl/capic/index.php?option=com_content&task=view&id=2&Itemid=2,,0718-4654,0718-4662,,,
Revista Perspectivas de la Comunicación,http://www.perspectivasdelacomunicacion.cl,,,0718-4867,,,CC BY
Formación Universitaria,http://www.citrevistas.cl/a1-formacion.htm,,0718-5006,,,,
Estudios Avanzados,http://www.revistas.usach.cl/ojs/index.php/ideas/index,,0718-5022,0718-5014,,,CC BY
Izquierdas,http://www.izquierdas.cl,,,0718-5049,,,CC BY-SA
Revista ANACEM,http://revista.anacem.cl/,,0718-5308,0718-7041,,,CC BY-NC-ND
"Revista Clínica de Periodoncia, Implantología y Rehabilitación Oral",http://www.scielo.cl/scielo.php?script=sci_serial&pid=0719-0107&lng=en&nrm=iso,PIRO,0718-5391,0719-0107,,,
Latin American Journal of Aquatic Research ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-560X&lng=en&nrm=iso,LAJAR,0718-560X,,,,
Revista Gestión de las Personas y Tecnología,http://www.revistagpt.usach.cl,,0718-5693,,,,CC BY-NC-ND
Chilean Journal of Agricultural Research,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-5839&lng=en&nrm=iso,,,0718-5839,,,
Palimpsesto. Revista de Historia y Ciencias Sociales,http://www.palimpsestousach.cl/,Revista de Historia y Ciencias Sociales,0718-5898,,,http://biblioteca.usach.cl/libros-y-revistas-institucionales,CC BY
Aisthesis,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-7181&lng=es&nrm=iso,Aisthesis: Revista Chilena de Investigaciones Estéticas,,0718-7181,,,
Tiempo Historico,http://www.academia.cl/tiempohistorico/ojs/index.php/Tiempo-Historico/index,RTH,0718-7432,,,,CC BY-NC-ND
HYBRIS: Revista de Filosofía,http://revistas.cenaltes.cl/index.php/hybris,,0718-8382,,,,CC BY-NC-ND
Boletín de Biodiversidad de Chile,http://www.bbchile.com/,BBChile,0718-8412,,,,
Avances en Ciencias e Ingeniería,http://www.exeedu.com/publishing.cl/av_cienc_ing/,ACI,0718-8706,,,,
Revista Estudios Hemisféricos y Polares,http://www.revistaestudioshemisfericosypolares.cl,Hemispheric & Polar Studies Journal,,0718-9230,,,CC BY-NC
Perspectiva Educacional Formación de Profesores,http://www.perspectivaeducacional.cl/index.php/peducacional,,0718-9729,,,,CC BY-NC
Pensamiento Educativo: Revista de Investigación Educacional Latinoamericana,http://pensamientoeducativo.uc.cl,Pensamiento Educativo: Journal of Latin American Educational Research,,0719-0409,,,CC BY
Revista Habitat Sustentable,http://www.revistahabitatsustentable.cl,,,0719-0700,,,
Cisma: Revista de Humanidades y Ciencias Sociales,http://cisma.ctit.cl/,Revista Cisma,,0719-0964,,,CC BY-NC-SA
Revista de Gestión Pública,http://www.revistadegestionpublica.cl,,0719-1820,0719-1839,,,
Revista Chilena de Derecho y Ciencia Politica,http://www.derechoycienciapolitica.cl,,0719-2150,,,,CC BY-NC-SA
Journal of Natural Resources and Development,http://www.jnrd.info,,,0719-2452,,,CC BY
Journal of Oral Research,http://www.joralres.com/index.php/JOR,,0719-2460,0719-2479,,,CC BY
Revista Chilena de Derecho y Tecnología,http://www.rchdt.uchile.cl/,,,0719-2584,,,CC BY-NC-SA
Communications in Inorganic Synthesis,http://cis.latinamres.org/,CIS,,0719-2827,Yes,http://cis.latinamres.org/,CC BY-NC-SA
Revista Eltopo,http://www.eltopo.cl,,,0719-3335,,,CC BY-NC-SA
Revista de Estudios Políticos y Estratégicos,http://revistaepe.blogutem.cl/tag/revista-epe/,Revista EPE,0719-3653,0719-3688,,,CC BY-SA
"Sustainability, Agri, Food and Environmental Research",http://portalrevistas.uct.cl/index.php/safer,,0719-3726,,,,CC BY-NC-ND
Journal of Pharmacy & Pharmacognosy Research,http://jppres.com/jppres/,JPPRes,,0719-4250,,,CC BY-NC-ND
Fronteras: Revista de Ciencias Sociales y Humanidades,http://publicacionescienciassociales.ufro.cl/index.php/fronteras/index,,,0719-4285,,,CC BY
Revista Inclusiones,http://www.revistainclusiones.cl/,,,0719-4706,,,CC BY-NC
RIVAR,http://revistarivar.cl/,"Revista Iberoamericana de Viticultura, Agroindustria y Ruralidad",,0719-4994,,http://revistarivar.cl/,CC BY-SA
RAN,http://ran.udec.cl,Revista Academia & Negocios,,0719-6245,,,CC BY
TS Cuadernos de Trabajo Social,http://www.tscuadernosdetrabajosocial.cl/,Ts. Cuadernos de trabajo social ,,0719-6520,,,CC BY-SA
Texas Heart Institute Journal,http://www.pubmedcentral.nih.gov/tocrender.fcgi?action=archive&journal=92,,0730-2347,,,,
Information Technology and Libraries,http://ejournals.bc.edu/ojs/index.php/ital/index,ITAL : Information Technology & Libraries,0730-9295,2163-5226,,,CC BY
Journal of Law and Commerce,http://jlc.law.pitt.edu,,0733-2491,2164-7984,,,CC BY-NC-ND
Homiletic : a Review of Publications in Religious Communication,http://www.homiletic.net/,HMLTC,0738-0534,2152-6923,,,
Family Medicine,http://www.stfm.org/NewsJournals/FamilyMedicine,,0742-3225,,,,
Journal of Rehabilitation Research and Development,http://www.rehab.research.va.gov/jour/jourindx.html,,0748-7711,,,,
Semen,http://semen.revues.org ,Revue de sémio-linguistique des discours et des textes,0761-2990,1957-780X,,,
Tropicultura,http://www.tropicultura.org/,,0771-3312,,,,
Afrika Focus,http://www.afrikafocus.eu/en,,0772-084X,2031-356X,,,
Rakenteiden Mekaniikka,http://rmseura.tkk.fi/rmlehti/english.html,Journal of Structural Mechanics,0783-6104,1797-5301,,,
E.I.A.L. : Estudios Interdisciplinarios de America Latina y el Caribe,http://www.tau.ac.il/eial/,,0792-7061,,,,
Revista Uruguaya de Cardiología,http://www.scielo.edu.uy/scielo.php/script_sci_serial/pid_0797-0048/lng_en/nrm_iso,,0797-0048,1688-0420,,,
Odontoestomatología,http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=1688-9339&lng=en&nrm=iso,,0797-0374,,,,
Revista de la Facultad de Derecho,http://www.revistafacultadderecho.edu.uy/ojs-2.4.2/index.php/rfd/index,,0797-8316,2301-0665,,,CC BY
Revista Uruguaya de Ciencia Política,http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=1688-499X&lng=es&nrm=iso,RUCP,0797-9789,1688-499X,,,CC BY-NC
MedULA,http://www.saber.ula.ve/medula,,0798-3166,,,,
WIMJ Open,http://www.mona.uwi.edu/wimjopen/,,,0799-3889,,,CC BY
Polar Research,http://www.polarresearch.net/index.php/polar/index,,0800-0395,1751-8369,,,CC BY-NC
Norsk Epidemiologi,http://www.ub.ntnu.no/journals/norepid/,Norwegian Journal of Epidemiology,0803-2491,1891-5477,,http://www.ntnu.no/ojs/index.php/norepid/issue/current,CC BY
Nordlit : Tidsskrift i litteratur og kultur ,http://www.ub.uit.no/baser/septentrio/index.php/nordlit,,0809-1668,1503-2086,,,CC BY-NC-SA
Nordic Journal of Digital Literacy,http://www.idunn.no/ts/dk,NJDL,0809-6724,1891-943X,,,
Journal of Comparative Social Work,http://jcsw.no,,0809-9936,,,,CC BY-NC-ND
Australian Educational Computing,http://journal.acce.edu.au/index.php/AEC/index,AEC,0816-9020,1443-833X,,,CC BY
Informal Logic,http://www.informallogic.ca ,,,0824-2577,,,
TESL Canada Journal,http://journals.sfu.ca/tesl/index.php/tesl/index,,0826-435X,1925-8917,,,
Alces : a Journal Devoted to the Biology and Management of Moose,http://alcesjournal.org/index.php/alces/index,,0835-5851,,,,
Historical Studies in Education,http://library.queensu.ca/ojs/index.php/edu_hse-rhe/index,Revue d'Histoire de l'Éducation ,0843-5057,1911-9674,,,
Constitutional Forum constitutionnel,http://ejournals.library.ualberta.ca/index.php/constitutional_forum/index,,0847-3889,,,,
African Population Studies  ,http://aps.journals.ac.za,Etude de la Population Africaine,0850-5780,2308-7854,,,
Reaktor,http://ejournal.undip.ac.id/index.php/reaktor/index,Reactor Journal (RJ),0852-0798,2407-5973,,,CC BY-NC
Humaniora,http://jurnal.ugm.ac.id/index.php/jurnal-humaniora,,0852-0801,2302-9269,,,CC BY-NC
Jurnal Varidika,http://journals.ums.ac.id/index.php/varidika/,JV,0852-0976,,,,CC BY
Mimbar Hukum,http://mimbar.hukum.ugm.ac.id/index.php/jmh,JMH,0852-100X,,,,CC BY
Teknik,http://ejournal.undip.ac.id/index.php/teknik,,0852-1697,,,,CC BY-SA
Walisongo: Jurnal Penelitian Sosial Keagamaan,http://journal.walisongo.ac.id/index.php/walisongo,Jurnal Walisongo,0852-7172,2461-064X,,,CC BY
JKAP (Jurnal Kebijakan dan Administrasi Publik),http://journal.ugm.ac.id/jkap,,0852-9213,2477-4693,,,CC BY-SA
Medical Journal of Indonesia,http://mji.ui.ac.id/,,0853-1773,2252-8083,,http://mji.ui.ac.id/journal/index.php/mji/index,CC BY-NC
IPTEK : The Journal for Technology and Science,http://www.iptek.its.ac.id/index.php/jts,,0853-4098,2088-2033,,,
Jurnal Ilmu Ternak dan Veteriner,http://medpub.litbang.pertanian.go.id/index.php/jitv,Indonesian Journal of Animal and Veterinary Sciences,0853-7380,2252-696X,,http://medpub.litbang.pertanian.go.id/index.php/jitv,CC BY
Indonesian Journal of Biotechnology,http://ijbiotech.ugm.ac.id,,0853-8654,2089-2241,,,
Majalah Ilmiah Peternakan,http://ojs.unud.ac.id/index.php/mip,,0853-8999,,,,CC BY
Jurnal Perencanaan Wilayah dan Kota,http://journals.itb.ac.id/index.php/jpwk,Journal of Regional and City Planning,0853-9847,2442-3866,,,CC BY-NC
Media of Health Research and Development ,http://ejournal.litbang.depkes.go.id/index.php/MPK,Media Penelitian dan Pengembangan Kesehatan,0853-9987,2338-3445,,,CC BY-SA
Paramita: Historical Studies Journal,http://journal.unnes.ac.id/nju/index.php/paramita,,0854-0039,2407-5825,Yes,http://journal.unnes.ac.id/nju/index.php/paramita/index,CC BY
Addin,http://journal.stainkudus.ac.id/index.php/Addin/index,,0854-0594,2476-9479,,,CC BY
Al-Ahkam,http://journal.walisongo.ac.id/index.php/ahkam/index,,0854-4603,2502-3209,,http://journal.walisongo.ac.id/index.php/ahkam/index,CC BY-SA
Journal of the ASEAN Federation of Endocrine Societies,http://www.asean-endocrinejournal.org,JAFES,0857-1074,2308-118X,,,CC BY-NC-SA
Thammasat International Journal of Science and Technology,http://www.tijsat.tu.ac.th,,0859-4074,,,,
"Studies in Logic, Grammar and Rhetoric",http://www.degruyter.com/view/j/slgr,,0860-150X,2199-6059,,,CC BY-NC-ND
Information & Security : An International Journal,http://procon.bg/view-volumes,I&S : Information and Security ,0861-5160,1314-2119,,,
Journal of Theoretical and Applied Mechanics,http://www.degruyter.com/view/j/jtam,Journal of Theoretical & Applied Mechanics,0861-6663,,,,CC BY
Ceramics-Silikáty,http://www.ceramics-silikaty.cz/index.htm,,0862-5468,1804-5847,,,
Horticultural Science,http://www.agriculturejournals.cz/web/hortsci.htm,,0862-867X,1805-9333,,,Publisher's own license
Acta Mathematica Universitatis Comenianae,http://pc2.iam.fmph.uniba.sk/amuc/,,0862-9544,,,,
Ciencias de la Información ,http://cinfo.idict.cu/index.php/cinfo,,0864-4659,1606-4925,,,CC BY
Forum Oświatowe,http://forumoswiatowe.pl,,0867-0323,,,,CC BY-NC-SA
Alcoholism and Drug Addiction,http://www.journals.elsevier.com/alcoholism-and-drug-addiction/,Alkoholizm i Narkomania,0867-4361,,,,CC BY-NC-ND
Pneumonologia i Alergologia Polska,https://journals.viamedica.pl/pneumonologia_i_alergologia_pol,,0867-7077,2299-8292,,,CC BY-NC-ND
Folia Historica Cracoviensia,http://czasopisma.upjp2.edu.pl/foliahistoricacracoviensia,,0867-8294,2391-6702,,,CC BY-NC-ND
Latvian Journal of Physics and Technical Sciences,http://www.degruyter.com/view/j/lpts,,0868-8257,,,,
Revista de Ciências Agrárias,http://www.scielo.gpeari.mctes.pt/scielo.php?script=sci_serial&pid=0871-018X&lng=pt,,0871-018X,,,,
Revista da Faculdade de Letras : Historia,http://ler.letras.up.pt/site/default.aspx?qry=id04id18&sum=sim,Historia,0871-164X,,,,
Revista Portuguesa de Educação,http://www.redalyc.org/revista.oa?id=374,,0871-9187,,,,
Revista da Faculdade de Letras : Sociologia,http://ler.letras.up.pt/site/default.aspx?qry=id04id111&sum=sim,Sociologia,0872-3419,2182-9691,,,
Via Spiritus : Revista de História da Espiritualidade e do Sentimento Religioso,http://ler.letras.up.pt/site/default.aspx?qry=id04id1146&sum=sim,,0873-1233,,,,
Millenium,http://www.ipv.pt/millenium/default.htm,,0873-3015,1647-662X,,,
Saber & Educar,http://revista.esepf.pt/index.php/sabereducar,,0873-3600,1647-2144,,,CC BY-ND
Intercâmbio,http://ler.letras.up.pt/site/default.aspx?qry=id04id1184&sum=sim,,0873-366X,,,,
Arquipélago : Life and Marine Sciences,http://www.arquipelago.info,,0873-4704,,,,
Páginas a&b,http://ojs.letras.up.pt/index.php/paginasaeb/index,Páginas a&b: Arquivos e Bibliotecas,0873-5670,2183-6671,,,CC BY-NC
"Sociologia, Problemas e Práticas",http://www.scielo.gpeari.mctes.pt/scielo.php?script=sci_serial&pid=0873-6529&lng=pt&nrm=iso,,0873-6529,,,,
Cadernos do Arquivo Municipal,http://arquivomunicipal.cm-lisboa.pt/pt/investigacao/cadernos-do-arquivo-municipal/2-serie/,,0873-9870,2183-3176,,,CC BY
Revista de Enfermagem Referência,http://www.scielo.gpeari.mctes.pt/scielo.php?script=sci_serial&pid=0874-0283&lng=pt&nrm=iso,Journal of Nursing,0874-0283,,,,
Ágora : Estudos Clássicos em Debate,http://revistas.ua.pt/index.php/agora,,0874-5498,,,,
Active and Passive Electronic Components,http://www.hindawi.com/journals/apec/,,0882-7516,1563-5031,,,CC BY
Oral Tradition,http://journal.oraltradition.org,,0883-5365,,,,
Pakistan Journal of Ophthalmology,http://www.pjo.com.pk/,,0886-3067,,,,
Journal of Pan African Studies,http://jpanafrican.org/,,0888-6601,,,,
International Journal of Comparative Psychology,https://submit.escholarship.org/ojs/index.php/uclapsych_ijcp,,0889-3667,2168-3344,,,CC BY
Microbial Ecology in Health and Disease,http://www.microbecolhealthdis.net/index.php/mehd,,0891-060X,1651-2235,,,CC BY-NC
Computational Linguistics,http://www.mitpressjournals.org/loi/coli,,0891-2017,1530-9312,,,
HPB Surgery,http://www.hindawi.com/journals/hpb/,,0894-8569,1607-8462,,,CC BY
Essays in Economic & Business History,http://www.ebhsoc.org/journal,,0896-226X,,,,
New Theology Review,http://newtheologyreview.org/,NTR,0896-4297,2169-1088,,,CC BY-NC-ND
Baylor University Medical Center Proceedings,http://www.baylorhealth.edu/Proceedings/,BUMC Proceedings,0899-8280,,,,
European Respiratory Review,http://err.ersjournals.com/,,0905-9180,1600-0617,,,CC BY-NC
Journal of Smooth Muscle Research,http://www.jstage.jst.go.jp/browse/jsmr,,0916-8737,,,,
Journal of Epidemiology,https://www.jstage.jst.go.jp/browse/jea,,0917-5040,1349-9092,,,CC BY
De Zeventiende Eeuw : Cultuur in de Nederlanden in Interdisciplinair Perspectief,http://www.de-zeventiende-eeuw.nl ,,0921-142X,2212-7402,,,CC BY
European Review of Latin American and Caribbean Studies,http://www.erlacs.org,Revista Europea de Estudios Latinoamericanos y del Caribe,0924-0608,1879-4750,,,CC BY
Merkourios : Utrecht Journal of International and European Law,http://www.merkourios.org,Merkourios : Utrecht Journal of International & European Law,0927-460X,,,,CC BY
Veterinary Research ,http://www.veterinaryresearch.org/,,0928-4249,1297-9716,,,CC BY
Journal of Medical Ultrasound,http://www.journals.elsevier.com/journal-of-medical-ultrasound/,,0929-6441,,,,CC BY-NC-ND
Nordeuropaforum,http://www.nordeuropaforum.de,Zeitschrift für Kulturstudien (Journal for the Study of Culture),0940-5585,1863-639X,,,
Meteorologische Zeitschrift,http://www.schweizerbart.de/journals/metz/,,0941-2948,1610-1227,,,CC BY-NC
Behavioural Neurology ,http://www.hindawi.com/journals/bn/,,0953-4180,1875-8584,,,CC BY
Community Eye Health Journal,http://www.cehjournal.org,,0953-6833,1993-7288,,,CC BY-NC-SA
Wildfowl,http://wildfowl.wwt.org.uk,,0954-6324,2052-6458,,,
Ukrainian Journal of Physics,http://ujp.bitp.kiev.ua/,UJP,0960-6068,,,,
Mediators of Inflammation,http://www.hindawi.com/journals/mi,,0962-9351,1466-1861,,,CC BY
Papers from the Institute of Archaeology,http://pia-journal.co.uk,PIA,0965-9315,2041-9015,,,CC BY
Anvil,http://www.degruyter.com/view/j/anv,Anglican Evangelical Journal for Theology and Mission,0969-7373,,,,CC BY-NC-ND
Oriental Journal of Chemistry,http://www.orientjchem.org,,0970-020X,2231-5039,,,
Indian Journal of Community Medicine,http://www.ijcm.org.in/,,0970-0218,1998-3581,,,CC BY-NC-SA
Indian Journal of Plastic Surgery,http://www.ijps.org/,,0970-0358,1998-376X,,,CC BY-NC-SA
Lung India,http://www.lungindia.com/,,0970-2113,0974-598X,,,CC BY-NC-SA
Journal of the Indian Society of Pedodontics and Preventive Dentistry,http://www.jisppd.com/,,0970-4388,1998-3905,,,CC BY-NC-SA
Journal of Anaesthesiology Clinical Pharmacology,http://www.joacp.org,,0970-9185,2231-2730,,,
Indian Journal of Dental Research,http://www.ijdr.in/,,0970-9290,1998-3603,,,CC BY-NC-SA
Journal of Cytology,http://www.jcytol.org/,,0970-9371,0974-5165,,,CC BY-NC-SA
Indian Journal of Radiology and Imaging,http://www.ijri.org/,,0971-3026,1998-3808,,,CC BY-NC-SA
Indian Journal of Medical and Paediatric Oncology,http://www.ijmpo.org,,0971-5851,0975-2129,,,CC BY-NC-SA
Indian Journal of Medical Research,http://icmr.nic.in/ijmr/ijmr.htm,,0971-5916,,,,
Journal of Medical Physics,http://www.jmp.org.in/,,0971-6203,1998-3913,,,CC BY-NC-SA
Indian Journal of Human Genetics,http://www.ijhg.com/,,0971-6866,1998-362X,,,CC BY-NC-SA
Indian Journal of Community Health,http://www.iapsmupuk.org/journal/index.php/IJCH/index,,0971-7587,2248-9509,,,CC BY
Indian Journal of Otology,http://www.indianjotol.org,,0971-7749,2249-9520,,,
Journal of Indian Association of Pediatric Surgeons,http://www.jiaps.com/,,0971-9261,1998-3891,,,
Annals of Cardiac Anaesthesia,http://www.annals.in/,,0971-9784,0974-5181,,,CC BY-NC-SA
Journal of Conservative Dentistry,http://www.jcd.org.in/,,0972-0707,0974-5203,,,CC BY-NC-SA
JK Science : Journal of Medical Education & Research,http://www.jkscience.org/,,0972-1177,,,,
Journal of the Indian Society of Periodontology,http://www.jisponline.com/,,0972-124X,0975-1580,,,CC BY-NC-SA
Annals of Indian Academy of Neurology,http://www.annalsofian.org/,,0972-2327,1998-3549,,,CC BY-NC-SA
Conservation & Society,http://www.conservationandsociety.org/,Conservation and Society,0972-4923,0975-3133,,,
Indian Journal of Critical Care Medicine,http://www.ijccm.org/,,0972-5229,1998-359X,,,CC BY-NC-SA
Online Journal of Health & Allied Sciences,http://www.ojhas.org/,OJHAS,0972-5997,,,,
Industrial Psychiatry Journal,http://www.industrialpsychiatry.org,,0972-6748,0976-2795,,,CC BY-NC-SA
Journal of Function Spaces and Applications,http://www.hindawi.com/journals/jfsa/,,0972-6802,,Yes,http://www.hindawi.com/journals/jfs/2016/9091478/,CC BY
International Journal of Chemical Sciences,http://www.sadgurupublications.com/JournalPapers.aspx?JournalCategory=1&Year=2012&VolumeNo=10&PartNo=4,,0972-768X,,,,
Veterinary World,http://www.veterinaryworld.org,,0972-8988,2231-0916,,,CC BY
Journal of Vector Borne Diseases,http://www.mrcindia.org/journal/,,0972-9062,,,,
Journal of Minimal Access Surgery,http://www.journalofmas.com/,,0972-9941,1998-3921,,,CC BY-NC-SA
Journal of Oral and Maxillofacial Pathology,http://www.jomfp.in/,,0973-029X,1998-393X,,,CC BY-NC-SA
Indian Anaesthetists' Forum,http://www.theiaforum.org,Nil,,0973-0311,,,
Indian Journal of Palliative Care,http://www.jpalliativecare.com/,,0973-1075,1998-3735,,,CC BY-NC-SA
Mens Sana Monographs,http://www.msmonographs.org/,MSM,0973-1229,1998-4014,,,
Pharmacognosy Magazine,http://www.phcog.com/,,0973-1296,0976-4062,,,
Journal of Cancer Research and Therapeutics,http://www.cancerjournal.net/,JCRT,0973-1482,1998-4138,,,CC BY-NC-SA
Indian Journal of Occupational and Environmental Medicine,http://www.ijoem.com,IJOEM,0973-2284,1998-3670,,,
Current World Environment,http://www.cwejournal.org,,0973-4929,2320-8031,,,
International Journal of Criminal Justice Sciences,http://www.ijcjs.co.nr,,0973-5089,,,,CC BY-NC-SA
Socio-Legal Review,http://www.sociolegalreview.com/,SLR,0973-5216,,,,
BVICAM's International Journal of Information Technology,http://bvicam.ac.in/bijit,BIJIT,0973-5658,,,,CC BY-NC-ND
International Journal of Shoulder Surgery,http://www.internationalshoulderjournal.org/,,,0973-6042,,,CC BY-NC-SA
International Journal of Difference Equations,http://campus.mst.edu/ijde/index.htm,,0973-6069,0974-1828,,,
International Journal of Yoga,http://www.ijoy.org.in/,IJOY,0973-6131,2231-2714,,,CC BY-NC-SA
Asian Journal of Transfusion Science,http://www.ajts.org/,,0973-6247,1998-3565,,,CC BY-NC-SA
The Bioscan,http://www.thebioscan.in,,0973-7049,,,,
Journal of Clinical and Diagnostic Research,http://www.jcdr.net/,,0973-709X,,,,
Journal of Stem Cells and Regenerative Medicine,http://www.pubstemcell.com,,0973-7154,,,,CC BY
Pharmacognosy Reviews,http://www.phcogrev.com,,0973-7847,0976-2787,,,CC BY-NC-SA
International Journal of Green Pharmacy,http://www.greenpharmacy.info/,,0973-8258,1998-4103,,,CC BY-NC-SA
Asian Journal of Pharmaceutics,http://www.asiapharmaceutics.info/,,0973-8398,1998-409X,,,CC BY-NC-SA
Carbon : Science and Technology,http://www.applied-science-innovations.com/cst-web-site/cst-1.html,,0974-0546,,,,
Al Ameen Journal of Medical Sciences ,http://ajms.alameenmedical.org,AJMS,0974-1143,,,,CC BY-NC
Journal of Human Reproductive Sciences,http://www.jhrsonline.org/,,0974-1208,1998-4766,,,CC BY-NC-SA
Rasayan Journal of Chemistry,http://rasayanjournal.com/,,0974-1496,,,,
Annals of Pediatric Cardiology,http://www.annalspc.com/,,0974-2069,0974-5149,,,CC BY-NC-SA
Journal of Cutaneous and Aesthetic Surgery ,http://www.jcasonline.com/,,0974-2077,0974-5157,,,CC BY-NC-SA
Journal of Biochemical Technology,http://jbiochemtech.com/,,0974-2328,,,,
